"sample_size","scalar","cohensd","perc_type2"
10,0.1,0.1,0.9508
10,0.1,0.2,0.9354
10,0.1,0.3,0.9039
10,0.1,0.4,0.873
10,0.1,0.5,0.8169
10,0.1,0.6,0.758
10,0.1,0.7,0.6725
10,0.1,0.8,0.57
10,0.1,0.9,0.4873
10,0.1,1,0.3907
20,0.1,0.1,0.9394
20,0.1,0.2,0.9109
20,0.1,0.3,0.8503
20,0.1,0.4,0.7638
20,0.1,0.5,0.6514
20,0.1,0.6,0.5437
20,0.1,0.7,0.4097
20,0.1,0.8,0.2766
20,0.1,0.9,0.1851
20,0.1,1,0.1087
35,0.1,0.1,0.9285
35,0.1,0.2,0.8681
35,0.1,0.3,0.7587
35,0.1,0.4,0.6201
35,0.1,0.5,0.4414
35,0.1,0.6,0.2879
35,0.1,0.7,0.174
35,0.1,0.8,0.0756
35,0.1,0.9,0.0329
35,0.1,1,0.012
50,0.1,0.1,0.91
50,0.1,0.2,0.84
50,0.1,0.3,0.6761
50,0.1,0.4,0.4931
50,0.1,0.5,0.2851
50,0.1,0.6,0.148
50,0.1,0.7,0.0618
50,0.1,0.8,0.016
50,0.1,0.9,0.0052
50,0.1,1,7e-04
100,0.1,0.1,0.8843
100,0.1,0.2,0.7145
100,0.1,0.3,0.4253
100,0.1,0.4,0.1979
100,0.1,0.5,0.0555
100,0.1,0.6,0.0112
100,0.1,0.7,0.0013
100,0.1,0.8,1e-04
100,0.1,0.9,0
100,0.1,1,0
10,0.2,0.1,0.9534
10,0.2,0.2,0.938
10,0.2,0.3,0.905
10,0.2,0.4,0.8683
10,0.2,0.5,0.8153
10,0.2,0.6,0.7483
10,0.2,0.7,0.6733
10,0.2,0.8,0.5651
10,0.2,0.9,0.5046
10,0.2,1,0.3993
20,0.2,0.1,0.9405
20,0.2,0.2,0.9115
20,0.2,0.3,0.8532
20,0.2,0.4,0.7735
20,0.2,0.5,0.6627
20,0.2,0.6,0.5422
20,0.2,0.7,0.4026
20,0.2,0.8,0.2664
20,0.2,0.9,0.1815
20,0.2,1,0.1056
35,0.2,0.1,0.9272
35,0.2,0.2,0.8671
35,0.2,0.3,0.7635
35,0.2,0.4,0.6204
35,0.2,0.5,0.4407
35,0.2,0.6,0.2908
35,0.2,0.7,0.1667
35,0.2,0.8,0.0762
35,0.2,0.9,0.0336
35,0.2,1,0.0102
50,0.2,0.1,0.9243
50,0.2,0.2,0.8365
50,0.2,0.3,0.6666
50,0.2,0.4,0.4996
50,0.2,0.5,0.2913
50,0.2,0.6,0.1475
50,0.2,0.7,0.0582
50,0.2,0.8,0.0173
50,0.2,0.9,0.007
50,0.2,1,0.001
100,0.2,0.1,0.886
100,0.2,0.2,0.7057
100,0.2,0.3,0.419
100,0.2,0.4,0.1938
100,0.2,0.5,0.0541
100,0.2,0.6,0.012
100,0.2,0.7,0.0019
100,0.2,0.8,0
100,0.2,0.9,0
100,0.2,1,0
10,0.3,0.1,0.9513
10,0.3,0.2,0.9405
10,0.3,0.3,0.9024
10,0.3,0.4,0.8633
10,0.3,0.5,0.8139
10,0.3,0.6,0.747
10,0.3,0.7,0.6666
10,0.3,0.8,0.5749
10,0.3,0.9,0.4869
10,0.3,1,0.3959
20,0.3,0.1,0.9455
20,0.3,0.2,0.9127
20,0.3,0.3,0.8569
20,0.3,0.4,0.7633
20,0.3,0.5,0.6572
20,0.3,0.6,0.5357
20,0.3,0.7,0.3956
20,0.3,0.8,0.27
20,0.3,0.9,0.1869
20,0.3,1,0.11
35,0.3,0.1,0.9338
35,0.3,0.2,0.8746
35,0.3,0.3,0.7514
35,0.3,0.4,0.6269
35,0.3,0.5,0.4455
35,0.3,0.6,0.287
35,0.3,0.7,0.1661
35,0.3,0.8,0.0718
35,0.3,0.9,0.0302
35,0.3,1,0.0089
50,0.3,0.1,0.9194
50,0.3,0.2,0.8375
50,0.3,0.3,0.6657
50,0.3,0.4,0.4913
50,0.3,0.5,0.2839
50,0.3,0.6,0.1467
50,0.3,0.7,0.0603
50,0.3,0.8,0.017
50,0.3,0.9,0.0062
50,0.3,1,8e-04
100,0.3,0.1,0.8839
100,0.3,0.2,0.6983
100,0.3,0.3,0.4227
100,0.3,0.4,0.1937
100,0.3,0.5,0.0539
100,0.3,0.6,0.0091
100,0.3,0.7,4e-04
100,0.3,0.8,1e-04
100,0.3,0.9,0
100,0.3,1,0
10,0.4,0.1,0.9526
10,0.4,0.2,0.9354
10,0.4,0.3,0.9077
10,0.4,0.4,0.866
10,0.4,0.5,0.8149
10,0.4,0.6,0.7555
10,0.4,0.7,0.668
10,0.4,0.8,0.5727
10,0.4,0.9,0.4989
10,0.4,1,0.3926
20,0.4,0.1,0.9378
20,0.4,0.2,0.9125
20,0.4,0.3,0.8483
20,0.4,0.4,0.7696
20,0.4,0.5,0.6592
20,0.4,0.6,0.5468
20,0.4,0.7,0.4129
20,0.4,0.8,0.2685
20,0.4,0.9,0.1974
20,0.4,1,0.1099
35,0.4,0.1,0.9275
35,0.4,0.2,0.8674
35,0.4,0.3,0.7676
35,0.4,0.4,0.6223
35,0.4,0.5,0.4445
35,0.4,0.6,0.2974
35,0.4,0.7,0.1689
35,0.4,0.8,0.0712
35,0.4,0.9,0.0336
35,0.4,1,0.0106
50,0.4,0.1,0.9175
50,0.4,0.2,0.8349
50,0.4,0.3,0.6682
50,0.4,0.4,0.4982
50,0.4,0.5,0.2905
50,0.4,0.6,0.1466
50,0.4,0.7,0.0579
50,0.4,0.8,0.0148
50,0.4,0.9,0.0039
50,0.4,1,0.0012
100,0.4,0.1,0.8888
100,0.4,0.2,0.7111
100,0.4,0.3,0.4206
100,0.4,0.4,0.1955
100,0.4,0.5,0.0516
100,0.4,0.6,0.0099
100,0.4,0.7,8e-04
100,0.4,0.8,0
100,0.4,0.9,0
100,0.4,1,0
10,0.5,0.1,0.95
10,0.5,0.2,0.9373
10,0.5,0.3,0.9066
10,0.5,0.4,0.8722
10,0.5,0.5,0.8091
10,0.5,0.6,0.7487
10,0.5,0.7,0.6706
10,0.5,0.8,0.5662
10,0.5,0.9,0.4821
10,0.5,1,0.3885
20,0.5,0.1,0.9433
